City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,luanda,3,AO,1563902863,83,-8.83,13.24,73.4,5.82
1,dikson,5,RU,1563902930,90,73.51,80.55,34.72,2.95
2,hithadhoo,99,MV,1563902930,76,-0.6,73.08,83.32,7.61
3,codrington,0,AU,1563902819,87,-28.95,153.24,55.99,9.17
4,tiznit,7,MA,1563902930,92,29.7,-9.73,69.1,11.77
5,hilo,20,US,1563902840,77,19.71,-155.08,73.99,6.93
6,berlevag,0,NO,1563902931,64,70.86,29.09,80.6,3.36
7,kodiak,1,US,1563902931,44,39.95,-94.76,78.01,7.05
8,kaeo,30,NZ,1563902931,100,-35.1,173.78,46.0,4.52
9,avarua,4,CK,1563902667,69,-21.21,-159.78,73.4,12.75
10,seoul,90,KR,1563902703,78,37.57,126.98,80.6,10.76
11,mataura,4,NZ,1563902931,98,-46.19,168.86,36.0,4.65
12,abha,0,SA,1563902931,64,18.22,42.5,86.0,9.17
13,yerbogachen,100,RU,1563902683,61,61.28,108.01,61.18,6.78
14,punta arenas,75,CL,1563902932,69,-53.16,-70.91,37.4,11.41
15,konstantinovskoye,20,RU,1563902932,73,45.3,42.64,71.01,11.18
16,chuy,100,UY,1563902932,81,-33.69,-53.46,56.5,14.63
17,paita,0,PE,1563902932,290,-5.09,-81.11,62.6,11.41
18,marshall,40,US,1563902932,51,32.54,-94.37,84.99,10.29
19,naze,98,NG,1563902932,95,5.43,7.07,73.6,5.3
20,butaritari,100,KI,1563902932,70,3.07,172.79,84.94,9.57
21,le port,69,FR,1563902932,39,42.87,1.37,93.0,5.99
22,encruzilhada,98,BR,1563902859,56,-15.53,-40.91,74.68,11.14
23,lompoc,1,US,1563902640,72,34.64,-120.46,82.99,6.76
24,sakhnovshchyna,83,UA,1563902933,74,49.15,35.87,67.3,7.7
25,lazaro cardenas,75,MX,1563902933,39,28.39,-105.62,84.0,11.41
26,kapaa,75,US,1563902933,78,22.08,-159.32,80.6,12.75
27,klaksvik,90,FO,1563902933,100,62.23,-6.59,55.4,12.75
28,albany,75,US,1563902669,60,42.65,-73.75,75.99,5.82
29,yar-sale,78,RU,1563902933,69,66.83,70.83,51.46,11.32
30,palmer,75,AU,1563902933,87,-34.85,139.16,53.6,6.93
31,barrow,0,AR,1563902933,28,-38.31,-60.23,54.16,10.92
32,havre,20,US,1563902934,50,48.55,-109.68,81.0,3.36
